postalCode,city,customerId
2100,København,be6e2e33-6bea-11ed-a126-72129961d375
2100,København,be6e2f40-6bea-11ed-878e-72129961d375
2500,Valby,be6e2fd7-6bea-11ed-91ea-72129961d375
2400,København,be6e304c-6bea-11ed-aaf7-72129961d375
2100,København,be6e30d9-6bea-11ed-88e4-72129961d375
2150,Nordhavn,be6e317a-6bea-11ed-870c-72129961d375
2200,København,be6e31f0-6bea-11ed-9198-72129961d375
2450,København,be6e326b-6bea-11ed-b0f9-72129961d375
2300,København,be6e3345-6bea-11ed-a9bf-72129961d375
9000,Aalborg,be6e33bd-6bea-11ed-9961-72129961d375
2450,København,be6e3435-6bea-11ed-aced-72129961d375
7100,Vejle,be6e34ae-6bea-11ed-838c-72129961d375
8700,Horsens,be6e3530-6bea-11ed-907b-72129961d375
5200,Odense,be6e383d-6bea-11ed-b421-72129961d375
9000,Aalborg,be6e38c7-6bea-11ed-83e1-72129961d375
2500,Valby,be6e3940-6bea-11ed-8771-72129961d375
5000,Odense,be6e39ca-6bea-11ed-b0ae-72129961d375
2000,Frederiksberg,be6e3a45-6bea-11ed-afd2-72129961d375
6200,Aabenraa,be6e3acf-6bea-11ed-8220-72129961d375
8270,Højbjerg,be6e3b47-6bea-11ed-81a9-72129961d375
2200,København,be6e3bc0-6bea-11ed-b2a7-72129961d375
8100,Aarhus,be6e3c35-6bea-11ed-b4cc-72129961d375
2500,Valby,be6e3cba-6bea-11ed-bef1-72129961d375
8260,Viby,be6e3d3d-6bea-11ed-8f78-72129961d375
3200,Helsinge,be6e3dbd-6bea-11ed-adda-72129961d375
2300,København,be6e3e54-6bea-11ed-a847-72129961d375
8700,Horsens,be6e3eca-6bea-11ed-b739-72129961d375
8700,Horsens,be6e3f38-6bea-11ed-b9cf-72129961d375
6800,Varde,be6e3fb3-6bea-11ed-9354-72129961d375
4100,Ringsted,be6e4028-6bea-11ed-823d-72129961d375
8300,Odder,be6e40a1-6bea-11ed-bff1-72129961d375
2400,København,be6e4157-6bea-11ed-8689-72129961d375
8400,Ebeltoft,be6e41cc-6bea-11ed-b6f0-72129961d375
2400,København,be6e423a-6bea-11ed-b716-72129961d375
9000,Aalborg,be6e42b5-6bea-11ed-a856-72129961d375
2800,Kongens,be6e432b-6bea-11ed-89e7-72129961d375
2500,Valby,be6e43a3-6bea-11ed-82b4-72129961d375
3100,Hornbæk,be6e441c-6bea-11ed-abcf-72129961d375
2150,Nordhavn,be6e449c-6bea-11ed-b43e-72129961d375
8100,Aarhus,be6e4533-6bea-11ed-9998-72129961d375
2450,København,be6e45ae-6bea-11ed-9877-72129961d375
5800,Nyborg,be6e4623-6bea-11ed-a642-72129961d375
2000,Frederiksberg,be6e46a6-6bea-11ed-a357-72129961d375
2200,København,be6e4728-6bea-11ed-a1fd-72129961d375
2300,København,be6e47bd-6bea-11ed-b69d-72129961d375
8270,Højbjerg,be6e4840-6bea-11ed-a74e-72129961d375
8260,Viby,be6e48b8-6bea-11ed-aa34-72129961d375
8700,Horsens,be6e4930-6bea-11ed-8460-72129961d375
8000,Aarhus,be6e49b3-6bea-11ed-983b-72129961d375
9000,Aalborg,be6e4a47-6bea-11ed-a95f-72129961d375
2500,Valby,be6e4ac0-6bea-11ed-b94b-72129961d375
5200,Odense,be6e4b38-6bea-11ed-a0ef-72129961d375
6300,Gråsten,be6e4bae-6bea-11ed-98ab-72129961d375
2400,København,be6e4c28-6bea-11ed-a2d4-72129961d375
8100,Aarhus,be6e4c97-6bea-11ed-ac05-72129961d375
9000,Aalborg,be6e4d0c-6bea-11ed-9c98-72129961d375
6800,Varde,be6e4d87-6bea-11ed-bb4a-72129961d375
2200,København,be6e4dfd-6bea-11ed-8833-72129961d375
2000,Frederiksberg,be6e4e80-6bea-11ed-9752-72129961d375
9000,Aalborg,be6e4ef8-6bea-11ed-9c76-72129961d375
9000,Aalborg,be6e4f66-6bea-11ed-9dad-72129961d375
8000,Aarhus,be6e4fde-6bea-11ed-b076-72129961d375
2800,Kongens,be6e5057-6bea-11ed-b88e-72129961d375
2100,København,be6e5100-6bea-11ed-a2ee-72129961d375
2000,Frederiksberg,be6e5180-6bea-11ed-ba72-72129961d375
5800,Nyborg,be6e51fa-6bea-11ed-8a7c-72129961d375
8270,Højbjerg,be6e5270-6bea-11ed-8572-72129961d375
6800,Varde,be6e52f5-6bea-11ed-8265-72129961d375
2500,Valby,be6e536b-6bea-11ed-9ef1-72129961d375
2150,Nordhavn,be6e53e3-6bea-11ed-b31b-72129961d375
2500,Valby,be6e5482-6bea-11ed-bff5-72129961d375
8700,Horsens,be6e5505-6bea-11ed-8c51-72129961d375
2450,København,be6e5573-6bea-11ed-97e9-72129961d375
9000,Aalborg,be6e55f8-6bea-11ed-a525-72129961d375
8100,Aarhus,be6e5663-6bea-11ed-aeeb-72129961d375
8700,Horsens,be6e56e6-6bea-11ed-a24e-72129961d375
5100,Odense,be6e5754-6bea-11ed-b78c-72129961d375
9000,Aalborg,be6e57d7-6bea-11ed-809b-72129961d375
6800,Varde,be6e5845-6bea-11ed-b2a4-72129961d375
2100,København,be6e58ba-6bea-11ed-9bff-72129961d375
8200,Aarhus,be6e5935-6bea-11ed-aa8e-72129961d375
2300,København,be6e59b5-6bea-11ed-a492-72129961d375
3600,Frederikssund,be6e5a2e-6bea-11ed-8a01-72129961d375
8260,Viby,be6e5ab8-6bea-11ed-b885-72129961d375
5500,Middelfart,be6e5b45-6bea-11ed-9cca-72129961d375
2150,Nordhavn,be6e5bc7-6bea-11ed-926a-72129961d375
2800,Kongens,be6e5c35-6bea-11ed-8d5c-72129961d375
2450,København,be6e5cae-6bea-11ed-a183-72129961d375
8260,Viby,be6e5d26-6bea-11ed-a408-72129961d375
8700,Horsens,be6e5d9e-6bea-11ed-a55e-72129961d375
