orderId,currency,date,discount,designType,userId,total,subtotal,shipping,size
83310033-6685-11ed-b265-72129961d376,DKK,2021-01-01 00:00:00,none,family_tree,83310085-6685-11ed-9636-72129961d376,999,999,parcel_shop,large
833100e8-6685-11ed-a42e-72129961d376,DKK,2021-01-01 00:00:00,none,love_letter,83310105-6685-11ed-870d-72129961d376,299,299,home_delivery,small
83310161-6685-11ed-acf5-72129961d376,DKK,2021-01-02 00:00:00,teamtc10,family_tree,8331017d-6685-11ed-a81c-72129961d376,9990,999,home_delivery,large
833101cc-6685-11ed-bcf1-72129961d376,DKK,2021-01-02 00:00:00,none,custom_order,833101ee-6685-11ed-9caf-72129961d376,299,299,parcel_shop,small
83310233-6685-11ed-9cca-72129961d376,DKK,2021-01-02 00:00:00,none,pet_sign,83310251-6685-11ed-88ce-72129961d376,399,399,parcel_shop,medium
8331029e-6685-11ed-a76e-72129961d376,DKK,2021-01-02 00:00:00,none,love_letter,833102c0-6685-11ed-bf55-72129961d376,399,399,home_delivery,medium
8331030c-6685-11ed-8149-72129961d376,DKK,2021-01-03 00:00:00,none,pet_sign,83310335-6685-11ed-886d-72129961d376,299,299,parcel_shop,small
8331037a-6685-11ed-96d4-72129961d376,DKK,2021-01-03 00:00:00,none,baby_sign,83310399-6685-11ed-9193-72129961d376,299,299,home_delivery,small
833103de-6685-11ed-8e64-72129961d376,DKK,2021-01-03 00:00:00,none,baby_sign,83310407-6685-11ed-a59d-72129961d376,499,499,home_delivery,large
83310459-6685-11ed-8e77-72129961d376,DKK,2021-01-03 00:00:00,teamtc10,pet_sign,83310475-6685-11ed-addb-72129961d376,2990,299,parcel_shop,small
833104cf-6685-11ed-b71c-72129961d376,DKK,2021-01-03 00:00:00,none,quotable,833104ee-6685-11ed-9330-72129961d376,299,299,home_delivery,small
8331053d-6685-11ed-8413-72129961d376,DKK,2021-01-03 00:00:00,teamtc10,quotable,8331055c-6685-11ed-8d86-72129961d376,2990,299,home_delivery,small
833105a1-6685-11ed-b99e-72129961d376,DKK,2021-01-03 00:00:00,teamtc10,custom_order,833105c0-6685-11ed-86ad-72129961d376,3990,399,parcel_shop,medium
83310619-6685-11ed-a1b7-72129961d376,DKK,2021-01-05 00:00:00,teamtc10,quotable,83310638-6685-11ed-9322-72129961d376,2990,299,parcel_shop,small
8331067d-6685-11ed-b4aa-72129961d376,DKK,2021-01-05 00:00:00,none,quotable,8331069c-6685-11ed-afe4-72129961d376,299,299,parcel_shop,small
83310700-6685-11ed-9829-72129961d376,DKK,2021-01-05 00:00:00,none,family_tree,8331071c-6685-11ed-8277-72129961d376,499,499,home_delivery,small
83310763-6685-11ed-952e-72129961d376,DKK,2021-01-05 00:00:00,none,family_tree,83310780-6685-11ed-ae72-72129961d376,999,999,parcel_shop,large
833107c7-6685-11ed-9b2c-72129961d376,DKK,2021-01-05 00:00:00,none,custom_order,833107e6-6685-11ed-a1a1-72129961d376,299,299,home_delivery,small
8331082e-6685-11ed-9988-72129961d376,DKK,2021-01-05 00:00:00,none,quotable,8331084a-6685-11ed-a6af-72129961d376,299,299,home_delivery,small
83310891-6685-11ed-a654-72129961d376,DKK,2021-01-05 00:00:00,none,pet_sign,833108ae-6685-11ed-bce6-72129961d376,499,499,home_delivery,large
833108f5-6685-11ed-bc2a-72129961d376,DKK,2021-01-05 00:00:00,none,baby_sign,83310911-6685-11ed-8904-72129961d376,499,499,parcel_shop,large
83310963-6685-11ed-8ccd-72129961d376,DKK,2021-01-06 00:00:00,none,custom_order,83310980-6685-11ed-92c8-72129961d376,399,399,home_delivery,medium
833109cf-6685-11ed-85be-72129961d376,DKK,2021-01-06 00:00:00,teamtc10,custom_order,833109e3-6685-11ed-87c1-72129961d376,3990,399,parcel_shop,medium
83310a35-6685-11ed-b999-72129961d376,DKK,2021-01-06 00:00:00,none,love_letter,83310a51-6685-11ed-917f-72129961d376,499,499,home_delivery,large
83310a99-6685-11ed-aa7f-72129961d376,DKK,2021-01-07 00:00:00,none,quotable,83310ab5-6685-11ed-82bf-72129961d376,499,499,parcel_shop,large
83310b07-6685-11ed-88f2-72129961d376,DKK,2021-01-07 00:00:00,none,family_tree,83310b23-6685-11ed-a47c-72129961d376,999,999,parcel_shop,large
83310b6b-6685-11ed-8575-72129961d376,DKK,2021-01-07 00:00:00,none,quotable,83310b87-6685-11ed-b4bc-72129961d376,499,499,parcel_shop,large
83310bcf-6685-11ed-a51e-72129961d376,DKK,2021-01-07 00:00:00,none,custom_order,83310beb-6685-11ed-b8bc-72129961d376,499,499,parcel_shop,large
83310c33-6685-11ed-9281-72129961d376,DKK,2021-01-07 00:00:00,none,family_tree,83310c4f-6685-11ed-afa6-72129961d376,699,699,parcel_shop,medium
83310ca1-6685-11ed-846a-72129961d376,DKK,2021-01-07 00:00:00,none,custom_order,83310cbd-6685-11ed-a5d1-72129961d376,499,499,parcel_shop,large
